  1	Crab           	05:34:31.9  +22:00:50.4    83.633  +22.014
  2	Sco_X-1        	16:19:55.2  -15:38:24.0   244.980  -15.640
  3	Her_X-1        	16:57:50.4  +35:20:31.2   254.460  +35.342
  4	Vela_X-1       	09:02:07.2  -40:33:18.0   135.530  -40.555
  5	1E_1740.7-2942 	17:43:55.2  -29:44:06.0   265.980  -29.735
  6	GRS_1915+105   	19:15:12.0  +10:56:24.0   288.800  +10.940
  7	GX_1+4         	17:32:00.0  -24:45:00.0   263.000  -24.750
  8	1A_0535+262    	05:38:54.0  +26:19:01.2    84.725  +26.317
  9	1A_1742-294    	17:46:04.8  -29:31:01.2   266.520  -29.517
 10	3C_120         	04:33:12.0  +05:20:60.0    68.300   +5.350
 11	3C_273         	12:29:04.8  +02:02:60.0   187.270   +2.050
 12	3C_279         	12:56:12.0  -05:46:58.8   194.050   -5.783
 13	3C_390.3       	18:42:12.0  +79:46:01.2   280.550  +79.767
 14	X_PER          	03:55:24.0  +31:03:00.0    58.850  +31.050
 15	4U_1626-67     	16:32:16.8  -67:28:01.2   248.070  -67.467
 16	Aql_X-1        	19:11:19.2  +00:34:58.8   287.830   +0.583
 17	Cen_A          	13:25:31.2  -43:01:01.2   201.380  -43.017
 18	Cen_X-3        	11:21:12.0  -60:37:01.2   170.300  -60.617
 19	Cyg_X-2        	21:44:40.8  +38:19:19.2   326.170  +38.322
 20	Cyg_X-3        	20:32:26.4  +40:57:28.8   308.110  +40.958
 21	ESO_141-G55    	19:21:12.0  -58:40:01.2   290.300  -58.667
 22	EXS1737.9-2952 	17:41:07.2  -29:52:48.0   265.280  -29.880
 23	Geminga        	06:33:54.0  +17:46:01.2    98.475  +17.767
 24	GRO_J0422+32   	04:21:42.0  +32:55:01.2    65.425  +32.917
 25	GRS_1227+025   	12:29:55.2  +02:07:58.8   187.480   +2.133
 26	GRS_1724-308   	17:27:36.0  -30:48:00.0   261.900  -30.800
 27	GX_17+2        	18:16:00.0  -14:01:58.8   274.000  -14.033
 28	GX_3+1         	17:47:55.2  -26:34:01.2   266.980  -26.567
 29	GX_340+0       	16:45:48.0  -45:37:01.2   251.450  -45.617
 30	GX_349+2       	17:05:48.0  -36:25:01.2   256.450  -36.417
 31	GX_5-1         	18:01:04.8  -25:04:58.8   270.270  -25.083
 32	GX_9+1         	18:01:31.2  -20:31:58.8   270.380  -20.533
 33	H1254-690      	12:57:36.0  -69:16:58.8   194.400  -69.283
 34	H1608-522      	16:12:43.2  -52:25:01.2   243.180  -52.417
 35	H1624-490      	16:28:04.8  -49:12:00.0   247.020  -49.200
 36	H1658-298      	17:02:04.8  -29:56:60.0   255.520  -29.950
 37	H1705-440      	17:08:55.2  -44:06:00.0   257.230  -44.100
 38	H1743-322      	17:46:16.8  -32:14:06.0   266.570  -32.235
 39	H1820-303      	18:23:40.8  -30:22:01.2   275.920  -30.367
 40	KS_1731-260    	17:34:12.0  -26:06:00.0   263.550  -26.100
 41	SAX_J1819.3-252	18:19:21.6  -25:24:25.2   274.840  -25.407
 42	X_1732-304     	17:35:48.0  -30:28:58.8   263.950  -30.483
 43	3C_111         	04:18:24.0  +38:01:58.8    64.600  +38.033
 44	N49            	05:26:00.0  -66:04:33.6    81.500  -66.076
 45	SGR1806-20     	18:08:38.4  -20:24:39.6   272.160  -20.411
 46	SGR1801-23     	18:00:59.0  -22:56:49.2   270.246  -22.947
 47	SGR_0501+4516  	05:01:03.6  +45:16:19.2    75.265  +45.272
 48	4U_1735-44     	17:38:57.6  -44:27:00.0   264.740  -44.450
 49	Ser_X-1        	18:39:57.6  +05:02:09.6   279.990   +5.036
 50	4U_0614+09     	06:17:07.2  +09:08:13.2    94.280   +9.137
 51	4U_1702-429    	17:06:14.4  -43:02:09.6   256.560  -43.036
 52	4U_1746-370    	17:50:12.0  -37:03:07.2   267.550  -37.052
 53	GS_1826-238    	18:29:28.8  -23:47:49.2   277.370  -23.797
 54	X_1745.6-2901  	17:45:36.0  -29:01:33.6   266.400  -29.026
 55	X_0836-429     	08:37:24.0  -42:53:09.6   129.350  -42.886
 56	GX_9+9         	17:31:43.2  -16:57:43.2   262.930  -16.962
 57	GX_13+1        	18:14:31.2  -17:09:25.2   273.630  -17.157
 58	EXO_0748-676   	07:48:33.6  -67:45:00.0   117.140  -67.750
 59	EXO_1745-248   	17:48:04.8  -24:46:51.6   267.020  -24.781
